 Parameter Sweep for ITP2 $\ell=10$ dbar
11:13AM on October 31, 2023
Plotting these x values of m_pts:
[ 20  30  40  50  60  70  80  90 100 110 120 130 140 150 160 170 180 190
 200 210 220 230 240 250 260 270 280 290 300 310 320 330 340 350 360 370
 380 390 400 410 420 430 440 450]
 m_pts: 20 m_pts: 20 n_clstrs: 189 DBCV: 0.08706510695082653
 m_pts: 30 m_pts: 30 n_clstrs: 110 DBCV: 0.1272513877916106
 m_pts: 40 m_pts: 40 n_clstrs: 79 DBCV: 0.1143237323362234
 m_pts: 50 m_pts: 50 n_clstrs: 72 DBCV: 0.11369703471742784
 m_pts: 60 m_pts: 60 n_clstrs: 63 DBCV: 0.17812324609118588
 m_pts: 70 m_pts: 70 n_clstrs: 58 DBCV: 0.19122577503357494
 m_pts: 80 m_pts: 80 n_clstrs: 55 DBCV: 0.20679378588318476
 m_pts: 90 m_pts: 90 n_clstrs: 52 DBCV: 0.1863912014596071
 m_pts: 100 m_pts: 100 n_clstrs: 50 DBCV: 0.1629459818607752
 m_pts: 110 m_pts: 110 n_clstrs: 49 DBCV: 0.19798078173861736
 m_pts: 120 m_pts: 120 n_clstrs: 47 DBCV: 0.1719790022693239
 m_pts: 130 m_pts: 130 n_clstrs: 43 DBCV: 0.14979831285296874
 m_pts: 140 m_pts: 140 n_clstrs: 44 DBCV: 0.09561360603982648
 m_pts: 150 m_pts: 150 n_clstrs: 42 DBCV: 0.0989710338764443
 m_pts: 160 m_pts: 160 n_clstrs: 40 DBCV: 0.16653660922479946
 m_pts: 170 m_pts: 170 n_clstrs: 40 DBCV: 0.19212237775473334
 m_pts: 180 m_pts: 180 n_clstrs: 39 DBCV: 0.1647076318620686
 m_pts: 190 m_pts: 190 n_clstrs: 38 DBCV: 0.21501385442732035
 m_pts: 200 m_pts: 200 n_clstrs: 37 DBCV: 0.19426612602095072
 m_pts: 210 m_pts: 210 n_clstrs: 35 DBCV: 0.22918161808606635
 m_pts: 220 m_pts: 220 n_clstrs: 35 DBCV: 0.2105706840064896
 m_pts: 230 m_pts: 230 n_clstrs: 35 DBCV: 0.2351919071860069
 m_pts: 240 m_pts: 240 n_clstrs: 33 DBCV: 0.19616033585301787
 m_pts: 250 m_pts: 250 n_clstrs: 32 DBCV: 0.20269348937620107
 m_pts: 260 m_pts: 260 n_clstrs: 31 DBCV: 0.15424960424267045
 m_pts: 270 m_pts: 270 n_clstrs: 30 DBCV: 0.169754912797241
 m_pts: 280 m_pts: 280 n_clstrs: 30 DBCV: 0.16036840169622224
 m_pts: 290 m_pts: 290 n_clstrs: 30 DBCV: 0.16628337458804568
 m_pts: 300 m_pts: 300 n_clstrs: 28 DBCV: 0.13707698639080312
 m_pts: 310 m_pts: 310 n_clstrs: 27 DBCV: 0.13115761391177944
 m_pts: 320 m_pts: 320 n_clstrs: 27 DBCV: 0.161842894754609
 m_pts: 330 m_pts: 330 n_clstrs: 27 DBCV: 0.1423506217667322
 m_pts: 340 m_pts: 340 n_clstrs: 27 DBCV: 0.17198591329588644
 m_pts: 350 m_pts: 350 n_clstrs: 27 DBCV: 0.1597876335607222
 m_pts: 360 m_pts: 360 n_clstrs: 25 DBCV: 0.20426529329186843
 m_pts: 370 m_pts: 370 n_clstrs: 25 DBCV: 0.19585118984713026
 m_pts: 380 m_pts: 380 n_clstrs: 25 DBCV: 0.19304644309511385
 m_pts: 390 m_pts: 390 n_clstrs: 24 DBCV: 0.10819401352779313
 m_pts: 400 m_pts: 400 n_clstrs: 24 DBCV: 0.14072632818542638
 m_pts: 410 m_pts: 410 n_clstrs: 24 DBCV: 0.13495574042160494
 m_pts: 420 m_pts: 420 n_clstrs: 24 DBCV: 0.1279277329192613
 m_pts: 430 m_pts: 430 n_clstrs: 23 DBCV: 0.19029780468900356
 m_pts: 440 m_pts: 440 n_clstrs: 23 DBCV: 0.17805359729171916
