Parameter Sweep for ITP2 $\ell=100$ dbar
11:21AM on October 31, 2023
Plotting these x values of m_pts:
[ 20  30  40  50  60  70  80  90 100 110 120 130 140 150 160 170 180 190
 200 210 220 230 240 250 260 270 280 290 300 310 320 330 340 350 360 370
 380 390 400 410 420 430 440 450]
 m_pts: 20 m_pts: 20 n_clstrs: 185 DBCV: 0.06684902177076726
 m_pts: 30 m_pts: 30 n_clstrs: 90 DBCV: 0.1429116579832901
 m_pts: 40 m_pts: 40 n_clstrs: 64 DBCV: 0.13513325665646764
 m_pts: 50 m_pts: 50 n_clstrs: 56 DBCV: 0.22503563931897735
 m_pts: 60 m_pts: 60 n_clstrs: 48 DBCV: 0.2345342462592135
 m_pts: 70 m_pts: 70 n_clstrs: 47 DBCV: 0.17956580114032566
 m_pts: 80 m_pts: 80 n_clstrs: 44 DBCV: 0.26325264343188814
 m_pts: 90 m_pts: 90 n_clstrs: 44 DBCV: 0.16063123331057366
 m_pts: 100 m_pts: 100 n_clstrs: 42 DBCV: 0.1979581519305448
 m_pts: 110 m_pts: 110 n_clstrs: 41 DBCV: 0.1297193483387403
 m_pts: 120 m_pts: 120 n_clstrs: 41 DBCV: 0.2207181757406003
 m_pts: 130 m_pts: 130 n_clstrs: 39 DBCV: 0.22333340276010993
 m_pts: 140 m_pts: 140 n_clstrs: 38 DBCV: 0.25723946660664243
 m_pts: 150 m_pts: 150 n_clstrs: 38 DBCV: 0.23048466918532134
 m_pts: 160 m_pts: 160 n_clstrs: 37 DBCV: 0.22987327456479437
 m_pts: 170 m_pts: 170 n_clstrs: 36 DBCV: 0.30342676754223524
 m_pts: 180 m_pts: 180 n_clstrs: 35 DBCV: 0.1679370330923183
 m_pts: 190 m_pts: 190 n_clstrs: 35 DBCV: 0.21177979276845924
 m_pts: 200 m_pts: 200 n_clstrs: 35 DBCV: 0.2613427414896556
 m_pts: 210 m_pts: 210 n_clstrs: 35 DBCV: 0.2485420803824796
 m_pts: 220 m_pts: 220 n_clstrs: 33 DBCV: 0.21611746854546882
 m_pts: 230 m_pts: 230 n_clstrs: 33 DBCV: 0.21050375148384837
 m_pts: 240 m_pts: 240 n_clstrs: 32 DBCV: 0.1898264978069795
 m_pts: 250 m_pts: 250 n_clstrs: 31 DBCV: 0.20520965447031395
 m_pts: 260 m_pts: 260 n_clstrs: 30 DBCV: 0.17360281493940313
 m_pts: 270 m_pts: 270 n_clstrs: 28 DBCV: 0.2075999833087444
 m_pts: 280 m_pts: 280 n_clstrs: 28 DBCV: 0.14784328800920385
 m_pts: 290 m_pts: 290 n_clstrs: 27 DBCV: 0.13957495463527975
 m_pts: 300 m_pts: 300 n_clstrs: 24 DBCV: 0.18793633895892237
 m_pts: 310 m_pts: 310 n_clstrs: 24 DBCV: 0.14550247827914076
 m_pts: 320 m_pts: 320 n_clstrs: 24 DBCV: 0.1665193057037542
 m_pts: 330 m_pts: 330 n_clstrs: 24 DBCV: 0.16300344965408706
 m_pts: 340 m_pts: 340 n_clstrs: 24 DBCV: 0.1333936518078213
 m_pts: 350 m_pts: 350 n_clstrs: 24 DBCV: 0.12689705509250737
 m_pts: 360 m_pts: 360 n_clstrs: 23 DBCV: 0.13807621889199043
 m_pts: 370 m_pts: 370 n_clstrs: 23 DBCV: 0.18825116115333038
 m_pts: 380 m_pts: 380 n_clstrs: 22 DBCV: 0.11857298722045004
 m_pts: 390 m_pts: 390 n_clstrs: 22 DBCV: 0.11428739327698781
 m_pts: 400 m_pts: 400 n_clstrs: 22 DBCV: 0.11736095261064035
 m_pts: 410 m_pts: 410 n_clstrs: 21 DBCV: 0.1064663974837661
 m_pts: 420 m_pts: 420 n_clstrs: 20 DBCV: 0.13405119096835494
 m_pts: 430 m_pts: 430 n_clstrs: 19 DBCV: 0.1257682948624707
 m_pts: 440 m_pts: 440 n_clstrs: 18 DBCV: 0.11285022688877956
