m_pts,maw_size,n_clusters,DBCV
20,100,2709,0.09334965531326174
30,100,1322,0.08237846561088394
40,100,817,0.06450257534344961
50,100,576,0.07487605913728716
60,100,444,0.07284750597497872
70,100,349,0.10054254781663846
80,100,263,0.09401740629717753
90,100,213,0.10811006617402565
100,100,185,0.1379647896853072
110,100,151,0.10468862001929186
120,100,136,0.09171628750463937
130,100,128,0.1410384611693643
140,100,124,0.15057604265404834
150,100,103,0.16036268247995852
160,100,94,0.12653211403867726
170,100,93,0.1471505025636944
180,100,90,0.16715832662999808
190,100,81,0.1776557059695462
200,100,81,0.1421297864253198
210,100,76,0.16699150095012888
220,100,74,0.1412423616047264
230,100,71,0.11373110321924823
240,100,73,0.17358086581681564
250,100,72,0.13482616964194416
260,100,69,0.17232003514259503
270,100,68,0.18955362794107328
280,100,65,0.17152147687467556
290,100,63,0.15881086057741428
300,100,64,0.11635835857876396
310,100,62,0.12628004901088546
320,100,64,0.13634676756419373
330,100,60,0.14198615330239434
340,100,56,0.14108774908608185
350,100,53,0.1318294601664348
360,100,57,0.15107867863174929
370,100,54,0.11979610989504064
380,100,51,0.12882846171441328
390,100,50,0.14879122980190854
400,100,51,0.15636478646049712
410,100,50,0.36397084062957674
420,100,48,0.335733395368486
430,100,48,0.3562657352172455
440,100,48,0.3079526194527808
450,100,48,0.3136994695642604
460,100,48,0.3277666720837192
470,100,49,0.14178563828649016
480,100,47,0.35131507847632043
490,100,45,0.32999956855105184
500,100,44,0.3565920704479727
510,100,45,0.3614747522886872
520,100,46,0.32254728237265146
530,100,45,0.16335764102957867
540,100,43,0.3801499958985567
550,100,45,0.34313975138232106
560,100,44,0.31809986625352854
570,100,44,0.16997485664305886
580,100,43,0.3861603831174808
590,100,44,0.198524215231427
600,100,44,0.21240675368803474
610,100,44,0.18181959857481644
620,100,43,0.2171831460364311
630,100,42,0.18053968033552853
640,100,42,0.37422870677638514
650,100,42,0.34140273727481313
660,100,42,0.15090814785616652
670,100,43,0.15923310614608094
680,100,42,0.15962097458703006
690,100,42,0.19683241942200833
700,100,42,0.15496720918039428
710,100,43,0.3885351575258059
720,100,42,0.3686026755364816
730,100,42,0.36194113174568093
740,100,42,0.1510700441023155
750,100,42,0.14335667880998326
760,100,42,0.3367233757960439
770,100,42,0.11140648699674364
780,100,42,0.37734262959553966
790,100,42,0.1421069353819326
