cluster,ca_SP,ca_PT,ca_depth,cs_depth,cs_PT,cs_SP,N,R_rho,F_H,K_T (x10e-6 m^2/s)
0,34.234,-0.869,205.23,1.97,0.042,0.017,.00766,7.55,0.11,1.18
1,34.250,-0.828,205.88,1.82,0.039,0.015,.00738,6.86,0.10,1.14
2,34.268,-0.781,208.57,1.92,0.038,0.015,.00713,6.75,0.10,1.23
3,34.285,-0.738,211.40,1.91,0.038,0.015,7.0013,6.58,0.10,1.24
4,34.300,-0.697,213.42,2.08,0.039,0.015,.00678,6.38,0.11,1.41
5,34.314,-0.660,215.84,2.06,0.039,0.015,.00686,6.30,0.11,1.43
6,34.333,-0.615,218.36,1.99,0.038,0.013,.00661,5.78,0.12,1.49
7,34.350,-0.558,221.18,2.35,0.044,0.016,.00658,5.71,0.15,1.88
8,34.368,-0.508,223.85,2.27,0.042,0.014,.00637,5.33,0.15,1.91
9,34.386,-0.451,227.08,2.32,0.042,0.015,.00635,5.50,0.15,1.93
10,34.400,-0.414,228.88,2.42,0.040,0.014,.00599,5.33,0.14,2.03
11,34.415,-0.375,231.86,2.60,0.043,0.015,.00600,5.28,0.15,2.24
12,34.431,-0.327,235.14,2.74,0.048,0.017,.00618,5.19,0.18,2.52
13,34.451,-0.270,237.96,2.86,0.047,0.016,.00594,4.94,0.20,2.82
14,34.468,-0.208,241.25,3.14,0.050,0.017,.00567,4.75,0.22,3.29
15,34.482,-0.177,243.55,1.96,0.041,0.013,.00669,4.71,0.17,1.90
16,34.496,-0.130,245.98,3.57,0.049,0.017,.00535,4.85,0.21,3.64
17,34.511,-0.082,249.72,3.69,0.049,0.017,.00521,4.69,0.22,3.95
18,34.524,-0.043,253.00,2.06,0.042,0.013,.00644,4.36,0.20,2.25
19,34.537,-0.037,254.48,3.24,0.048,0.015,.00530,4.33,0.24,3.87
20,34.550,0.034,257.18,2.34,0.043,0.014,.00625,4.46,0.20,2.54
21,34.566,0.082,261.98,4.55,0.053,0.018,.00503,4.55,0.26,5.22
22,34.589,0.152,265.85,4.18,0.049,0.017,.00526,4.45,0.24,4.93
23,34.609,0.217,270.08,2.19,0.046,0.015,.00664,4.25,0.24,2.65
24,34.628,0.274,274.07,3.51,0.048,0.016,.00548,4.21,0.26,4.36
25,34.652,0.337,282.41,5.20,0.047,0.016,.00473,4.26,0.25,6.60
26,34.675,0.398,289.37,9.04,0.054,0.021,.00396,4.81,0.27,9.98
27,34.700,0.459,297.18,3.79,0.055,0.022,.00605,4.72,0.28,4.55
28,34.726,0.538,301.44,4.26,0.055,0.021,.00556,4.52,0.30,5.53
29,34.750,0.608,308.24,6.56,0.045,0.016,.00433,4.16,0.25,8.54
30,34.769,0.661,317.76,12.35,0.038,0.013,.00302,4.17,0.21,14.09
31,34.782,0.713,334.86,18.70,0.035,0.013,.00271,4.35,0.19,24.49
32,34.794,0.759,346.12,10.26,0.036,0.013,.00311,4.03,0.20,14.03
33,34.807,0.810,349.95,3.06,0.032,0.013,.00637,4.52,0.14,2.96
